Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (HCF),Water&Sewer Charges,Other Charges,BBL
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 25,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5770787,3/1/2017 0:00,2/21/2017,3/22/2017,29,V31665696,N         ,1529.52,Basic Water and Sewer,Yes,155,"$1,529.52 ",$0.00 ,1020120020
BOULEVARD,BROOKLYN,BOULEVARD,BLD 08,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK CITY WATER BOARD,5792523,3/1/2017 0:00,2/7/2017,3/22/2017,43,G13039449,N         ,12068.44,Basic Water and Sewer,Yes,1223,"$12,068.44 ",$0.00 ,3043760001
BOULEVARD,BROOKLYN,BOULEVARD,BLD 02,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK CITY WATER BOARD,5775650,3/1/2017 0:00,1/23/2017,3/22/2017,58,K14164112,N         ,7608.15,Basic Water and Sewer,Yes,892,"$8,802.17 ","($1,194.02)",3043760001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 44,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5769709,3/1/2017 0:00,2/20/2017,3/21/2017,29,O78610228,N         ,878.24,Basic Water and Sewer,Yes,89,$878.24 ,$0.00 ,1020070045
BETANCES VI,BRONX,BETANCES VI,BLD 05 - Community Center,AMR,Community Center,285,545,B228500,FEDERAL,NY005012110P,NEW YORK CITY WATER BOARD,5773780,3/1/2017 0:00,2/21/2017,3/22/2017,29,K16057186,N         ,59.21,Basic Water and Sewer,Yes,6,$59.21 ,$0.00 ,2022720119
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 31,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5769713,3/1/2017 0:00,2/21/2017,3/21/2017,28,I13017366,N         ,868.38,Basic Water and Sewer,Yes,88,$868.38 ,$0.00 ,1020110013
"BETANCES III, 9A",BRONX,BETANCES III,BLD 02-03,AMR,BLD 02-03,222,339,B022200,FEDERAL,NY005012110P,NEW YORK CITY WATER BOARD,5773758,3/1/2017 0:00,2/21/2017,3/22/2017,29,E14210020,N         ,7627.89,Basic Water and Sewer,Yes,773,"$7,627.89 ",$0.00 ,2022710020
"BETANCES III, 9A",BRONX,BETANCES III,BLD 02-03,AMR,BLD 02-03,222,339,B022200,FEDERAL,NY005012110P,NEW YORK CITY WATER BOARD,5773758,3/1/2017 0:00,2/19/2017,3/22/2017,31,E14231478,N         ,39.34,Basic Water and Sewer,Yes,0,$39.34 ,$0.00 ,2022710020
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 17,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5769720,3/1/2017 0:00,2/21/2017,3/22/2017,29,E14262266,N         ,1006.53,Basic Water and Sewer,Yes,102,"$1,006.53 ",$0.00 ,1020120003
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 01,NONE,BLD 01,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,5792375,3/1/2017 0:00,2/21/2017,3/22/2017,29,E15282911,N         ,5486.55,Basic Water and Sewer,Yes,556,"$5,486.55 ",$0.00 ,3021450018
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 07,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5769724,3/1/2017 0:00,2/21/2017,3/22/2017,29,V31625180,N         ,2644.6,Basic Water and Sewer,Yes,268,"$2,644.60 ",$0.00 ,1020120052
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 03,AMR,BLD 03,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,5773704,3/1/2017 0:00,2/21/2017,3/22/2017,29,V31960320,N         ,5062.23,Basic Water and Sewer,Yes,513,"$5,062.23 ",$0.00 ,3021560007
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 02,AMR,BLD 02,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,5775407,3/1/2017 0:00,2/23/2017,3/24/2017,29,N31959108,Y         ,2200.54,Basic Water and Sewer,Yes,223,"$2,200.54 ",$0.00 ,3021450008
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 16,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5775439,3/1/2017 0:00,2/21/2017,3/22/2017,29,A08000393,N         ,1233.49,Basic Water and Sewer,Yes,125,"$1,233.49 ",$0.00 ,1020120064
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 01,AMR,BLD 01,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,5791880,3/1/2017 0:00,2/21/2017,3/22/2017,29,E12468790,N         ,7815.38,Basic Water and Sewer,Yes,792,"$7,815.38 ",$0.00 ,4123350044
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 20,AMR,BLD 20,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,5773427,3/1/2017 0:00,2/21/2017,3/22/2017,29,K16792337,N         ,2042.66,Basic Water and Sewer,Yes,207,"$2,042.66 ",$0.00 ,4101480001
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 09,AMR,BLD 09,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,5773818,3/1/2017 0:00,2/21/2017,3/22/2017,29,K13060723,N         ,325.64,Basic Water and Sewer,Yes,33,$325.64 ,$0.00 ,4123350044
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5775443,3/1/2017 0:00,2/21/2017,3/22/2017,29,V31665671,N         ,2368.3,Basic Water and Sewer,Yes,240,"$2,368.30 ",$0.00 ,1020130024
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 02,AMR,BLD 02,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,5792568,3/1/2017 0:00,2/21/2017,3/22/2017,29,K12468789,N         ,9354.77,Basic Water and Sewer,Yes,948,"$9,354.77 ",$0.00 ,4123350044
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 34,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5772647,3/1/2017 0:00,2/21/2017,3/22/2017,29,O78224451,N         ,1726.88,Basic Water and Sewer,Yes,175,"$1,726.88 ",$0.00 ,1020110063
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),BLD 05,AMR,,368,837,K036800,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5769849,3/1/2017 0:00,2/21/2017,3/22/2017,29,E12092566,N         ,2999.84,Basic Water and Sewer,Yes,304,"$2,999.84 ",$0.00 ,3013800031
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 22,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5772656,3/1/2017 0:00,2/21/2017,3/22/2017,29,V31665698,N         ,2812.35,Basic Water and Sewer,Yes,285,"$2,812.35 ",$0.00 ,1020120014
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 04,AMR,,366,801,K036600,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5773894,3/1/2017 0:00,2/21/2017,3/22/2017,29,I13013834,N         ,1549.26,Basic Water and Sewer,Yes,157,"$1,549.26 ",$0.00 ,3013730054
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 01,AMR,,366,801,K036600,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5770434,3/1/2017 0:00,2/21/2017,3/22/2017,29,I13013828,N         ,2427.5,Basic Water and Sewer,Yes,246,"$2,427.50 ",$0.00 ,3013790063
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),BLD 03,AMR,,368,837,K036800,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5773469,3/1/2017 0:00,2/21/2017,3/22/2017,29,K17791618,N         ,2200.54,Basic Water and Sewer,Yes,223,"$2,200.54 ",$0.00 ,3013800025
SOTOMAYOR HOUSES,BRONX,SOTOMAYOR HOUSES,BLD 31 - Community Center,AMR,Community Center,67,222,B206700,FEDERAL,NY005010670P,NEW YORK CITY WATER BOARD,5775365,3/1/2017 0:00,2/21/2017,3/22/2017,29,V84009379,N         ,118.41,Basic Water and Sewer,Yes,12,$118.41 ,$0.00 ,2037250001
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 03,AMR,,366,801,K036600,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5773467,3/1/2017 0:00,2/21/2017,3/22/2017,29,E17792841,N         ,1559.13,Basic Water and Sewer,Yes,158,"$1,559.13 ",$0.00 ,3013790031
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,AMR,,353,770,B035300,FEDERAL,NY005013420P,NEW YORK CITY WATER BOARD,5791888,3/1/2017 0:00,2/21/2017,3/22/2017,29,E12261841,N         ,7460.13,Basic Water and Sewer,Yes,756,"$7,460.13 ",$0.00 ,2026960005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 48,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5773728,3/1/2017 0:00,2/21/2017,3/22/2017,29,V31952918,N         ,503.26,Basic Water and Sewer,Yes,51,$503.26 ,$0.00 ,1020120025
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,AMR,,353,770,B035300,FEDERAL,NY005013420P,NEW YORK CITY WATER BOARD,5773677,3/1/2017 0:00,2/23/2017,3/24/2017,29,K15110467,Y         ,5674.04,Basic Water and Sewer,Yes,575,"$5,674.04 ",$0.00 ,2026960005
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 05,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5770808,3/1/2017 0:00,2/20/2017,3/22/2017,30,V31665691,N         ,4144.52,Basic Water and Sewer,Yes,420,"$4,144.52 ",$0.00 ,1020130016
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,AMR,,353,770,B035300,FEDERAL,NY005013420P,NEW YORK CITY WATER BOARD,5770738,3/1/2017 0:00,2/23/2017,3/24/2017,29,K15110471,Y         ,3838.61,Basic Water and Sewer,Yes,389,"$3,838.61 ",$0.00 ,2026960005
UPACA (SITE 6),MANHATTAN,UPACA (SITE 6),BLD 01,AMR,,355,760,M035500,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,5792367,3/1/2017 0:00,2/21/2017,3/24/2017,31,E09010097,Y         ,4766.2,Basic Water and Sewer,Yes,483,"$4,766.20 ",$0.00 ,1017680012
UPACA (SITE 6),MANHATTAN,UPACA (SITE 6),BLD 01,AMR,,355,760,M035500,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,5792367,3/1/2017 0:00,2/21/2017,3/22/2017,29,E09010099,N         ,7391.06,Basic Water and Sewer,Yes,749,"$7,391.06 ",$0.00 ,1017680012
STAPLETON,STATEN ISLAND,STAPLETON,BLD 07 - Community Center,NONE,Community Center,114,436,S211400,FEDERAL,NY005021140P,NEW YORK CITY WATER BOARD,5773432,3/1/2017 0:00,2/21/2017,3/22/2017,29,E16799118,N         ,78.94,Basic Water and Sewer,Yes,8,$78.94 ,$0.00 ,5005450100
VAN DYKE I,BROOKLYN,VAN DYKE I,BLD 24 - Community Center,AMR,Community Center,61,216,K206100,FEDERAL,NY005000610P,NEW YORK CITY WATER BOARD,5773702,3/1/2017 0:00,2/23/2017,3/24/2017,29,V84003679,Y         ,98.68,Basic Water and Sewer,Yes,10,$98.68 ,$0.00 ,3037770025
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 32,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5775709,3/1/2017 0:00,2/21/2017,3/22/2017,29,G13023666,N         ,1016.39,Basic Water and Sewer,Yes,103,"$1,016.39 ",$0.00 ,1020110011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 01,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5706221,2/1/2017 0:00,1/23/2017,2/21/2017,29,G13035140,N         ,2634.73,Basic Water and Sewer,Yes,267,"$2,634.73 ",$0.00 ,1020130026
UPACA (SITE 6),MANHATTAN,UPACA (SITE 6),BLD 01,AMR,,355,760,M035500,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,5704802,2/1/2017 0:00,1/23/2017,2/21/2017,29,E09010097,N         ,3739.93,Basic Water and Sewer,Yes,379,"$3,739.93 ",$0.00 ,1017680012
WASHINGTON HEIGHTS REHAB PHASE IV (C),MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE IV (C),BLD 01,AMR,,330,788,M033000,FEDERAL,NY005013090P,NEW YORK CITY WATER BOARD,5702358,2/1/2017 0:00,1/25/2017,2/23/2017,29,K14834217,Y         ,167.75,Basic Water and Sewer,Yes,17,$167.75 ,$0.00 ,1021320106
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 09,AMR,BLD 09,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,5705803,2/1/2017 0:00,1/23/2017,2/21/2017,29,K13060723,N         ,335.51,Basic Water and Sewer,Yes,34,$335.51 ,$0.00 ,4123350044
WASHINGTON HEIGHTS REHAB PHASE III,MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE III,BLD 05,AMR,,523,756,M052300,FEDERAL,NY005013090P,NEW YORK CITY WATER BOARD,5706224,2/1/2017 0:00,1/23/2017,2/21/2017,29,I13005250,N         ,2309.09,Basic Water and Sewer,Yes,234,"$2,309.09 ",$0.00 ,1021110041
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 07,NONE,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,5704822,2/1/2017 0:00,1/25/2017,2/23/2017,29,A10000581,Y         ,2348.56,Basic Water and Sewer,Yes,238,"$2,348.56 ",$0.00 ,2029890011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5706268,2/1/2017 0:00,1/23/2017,2/21/2017,29,V31665671,N         ,3167.6,Basic Water and Sewer,Yes,321,"$3,167.60 ",$0.00 ,1020130024
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 01,AMR,BLD 01,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,5704968,2/1/2017 0:00,1/23/2017,2/21/2017,29,E12468790,N         ,8407.45,Basic Water and Sewer,Yes,852,"$8,407.45 ",$0.00 ,4123350044
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,5705831,2/1/2017 0:00,1/25/2017,2/23/2017,29,R32599613,Y         ,36.8,Basic Water and Sewer,Yes,1,$36.80 ,$0.00 ,4158900064
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 24,AMR,BLD 24,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,5704970,2/1/2017 0:00,1/23/2017,2/21/2017,29,E15210031,N         ,3572.18,Basic Water and Sewer,Yes,362,"$3,572.18 ",$0.00 ,4121480100
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 21,AMR,BLD 21,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,5705996,2/1/2017 0:00,1/23/2017,2/21/2017,29,K14040273,N         ,1904.5,Basic Water and Sewer,Yes,193,"$1,904.50 ",$0.00 ,4101480001
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 06,NONE,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,5706139,2/1/2017 0:00,1/23/2017,2/21/2017,29,E13126719,N         ,7775.91,Basic Water and Sewer,Yes,788,"$7,775.91 ",$0.00 ,2029890011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 45,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5710850,2/1/2017 0:00,1/23/2017,2/21/2017,29,A08000399,N         ,1203.88,Basic Water and Sewer,Yes,122,"$1,203.88 ",$0.00 ,1020070043
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 16,AMR,BLD 16,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,5710866,2/1/2017 0:00,1/23/2017,2/21/2017,29,G17003745,N         ,5891.14,Basic Water and Sewer,Yes,597,"$5,891.14 ",$0.00 ,4101270001
POLO GROUNDS TOWERS,MANHATTAN,POLO GROUNDS TOWERS,BLD 08 - Community Center,AMR,Community Center,149,260,M214900,FEDERAL,NY005001490P,NEW YORK CITY WATER BOARD,5706289,2/1/2017 0:00,1/23/2017,2/21/2017,29,V84010435,N         ,69.08,Basic Water and Sewer,Yes,7,$69.08 ,$0.00 ,1021060003
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 04,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,5706137,2/1/2017 0:00,1/23/2017,2/21/2017,29,V83018270,N         ,2072.26,Basic Water and Sewer,Yes,210,"$2,072.26 ",$0.00 ,2029890001
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 27,AMR,BLD 27,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,5710878,2/1/2017 0:00,12/20/2016,2/21/2017,63,K16792341,N         ,14357.79,Basic Water and Sewer,Yes,1455,"$14,357.79 ",$0.00 ,4121480100
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 33,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5710851,2/1/2017 0:00,1/23/2017,2/21/2017,29,A08000848,N         ,2891.29,Basic Water and Sewer,Yes,293,"$2,891.29 ",$0.00 ,1020110061
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 22,AMR,BLD 22,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,5705975,2/1/2017 0:00,1/23/2017,2/21/2017,29,O77670576,N         ,7252.91,Basic Water and Sewer,Yes,735,"$7,252.91 ",$0.00 ,4101480001
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 16,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5705118,2/1/2017 0:00,1/23/2017,2/21/2017,29,A08000393,N         ,1263.09,Basic Water and Sewer,Yes,128,"$1,263.09 ",$0.00 ,1020120064
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 02,AMR,BLD 02,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,5702332,2/1/2017 0:00,1/25/2017,2/23/2017,29,N31959108,Y         ,2200.54,Basic Water and Sewer,Yes,223,"$2,200.54 ",$0.00 ,3021450008
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 02,AMR,"BLD 02, STORE 04-05",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,5704544,2/1/2017 0:00,1/25/2017,2/23/2017,29,I11009041,Y         ,3157.73,Basic Water and Sewer,Yes,320,"$3,157.73 ",$0.00 ,1003890032
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 15,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5710852,2/1/2017 0:00,1/23/2017,2/21/2017,29,K16137606,N         ,5930.61,Basic Water and Sewer,Yes,601,"$5,930.61 ",$0.00 ,1020120063
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 04,AMR,BLD 04,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5706254,2/1/2017 0:00,1/23/2017,2/21/2017,29,O78590128,N         ,3414.29,Basic Water and Sewer,Yes,346,"$3,414.29 ",$0.00 ,3014700059
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 03,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5710853,2/1/2017 0:00,1/23/2017,2/21/2017,29,V31625176,N         ,6917.4,Basic Water and Sewer,Yes,701,"$6,917.40 ",$0.00 ,1020130022
MELROSE,BRONX,MELROSE,BLD 09 - Community Center,AMR,Community Center,28,523,B202800,FEDERAL,NY005010280P,NEW YORK CITY WATER BOARD,5704532,2/1/2017 0:00,1/23/2017,2/21/2017,29,N31934550,N         ,118.41,Basic Water and Sewer,Yes,12,$118.41 ,$0.00 ,2024130001
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 06,AMR,BLD 06,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5705844,2/1/2017 0:00,1/23/2017,2/20/2017,28,I15002043,N         ,3315.61,Basic Water and Sewer,Yes,336,"$3,315.61 ",$0.00 ,3014700015
SOTOMAYOR HOUSES,BRONX,SOTOMAYOR HOUSES,BLD 31 - Community Center,AMR,Community Center,67,222,B206700,FEDERAL,NY005010670P,NEW YORK CITY WATER BOARD,5704540,2/1/2017 0:00,1/23/2017,2/21/2017,29,V84009379,N         ,118.41,Basic Water and Sewer,Yes,12,$118.41 ,$0.00 ,2037250001
HOWARD AVENUE,BROOKLYN,HOWARD AVENUE,BLD 01,AMR,,339,782,K033900,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5707745,2/1/2017 0:00,1/23/2017,2/21/2017,29,I15001931,N         ,4105.05,Basic Water and Sewer,Yes,416,"$4,105.05 ",$0.00 ,3035120051
QUEENSBRIDGE NORTH,QUEENS,QUEENSBRIDGE NORTH,BLD 11,AMR,,505,398,Q050500,FEDERAL,NY005005050P,NEW YORK CITY WATER BOARD,5706293,2/1/2017 0:00,1/23/2017,2/21/2017,29,E14032543,N         ,6631.23,Basic Water and Sewer,Yes,672,"$6,631.23 ",$0.00 ,4004700100
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 03,AMR,BLD 03,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,5708055,2/1/2017 0:00,1/23/2017,2/21/2017,29,V31960320,N         ,5595.1,Basic Water and Sewer,Yes,567,"$5,595.10 ",$0.00 ,3021560007
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 32,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5705987,2/1/2017 0:00,1/23/2017,2/21/2017,29,G13023666,N         ,838.77,Basic Water and Sewer,Yes,85,$838.77 ,$0.00 ,1020110011
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 01,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,5705181,2/1/2017 0:00,1/23/2017,2/21/2017,29,E21855209,N         ,1549.26,Basic Water and Sewer,Yes,157,"$1,549.26 ",$0.00 ,2029880001
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 03,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,5705181,2/1/2017 0:00,1/23/2017,2/21/2017,29,E21855193,N         ,2565.65,Basic Water and Sewer,Yes,260,"$2,565.65 ",$0.00 ,2029880001
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 02,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,5705181,2/1/2017 0:00,1/23/2017,2/21/2017,29,E10127587,N         ,6808.85,Basic Water and Sewer,Yes,690,"$6,808.85 ",$0.00 ,2029880001
OCEAN HILL-BROWNSVILLE,BROOKLYN,OCEAN HILL-BROWNSVILLE,BLD 02,AMR,,313,287,K031300,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5705968,2/1/2017 0:00,1/23/2017,2/21/2017,29,V84010220,N         ,4785.93,Basic Water and Sewer,Yes,485,"$4,785.93 ",$0.00 ,3014310043
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 05,AMR,BLD 05,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,5706143,2/1/2017 0:00,1/23/2017,2/21/2017,29,O78777952,N         ,2999.84,Basic Water and Sewer,Yes,304,"$2,999.84 ",$0.00 ,3014700011
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 07,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,5705115,2/1/2017 0:00,1/23/2017,2/21/2017,29,V31625180,N         ,2664.33,Basic Water and Sewer,Yes,270,"$2,664.33 ",$0.00 ,1020120052
UPACA (SITE 5),MANHATTAN,UPACA (SITE 5),BLD 01,AMR,,343,757,M034300,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,5704579,2/1/2017 0:00,1/23/2017,2/21/2017,29,V31976211,N         ,9611.33,Basic Water and Sewer,Yes,974,"$9,611.33 ",$0.00 ,1017690005
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 01,NONE,BLD 01,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,5710879,2/1/2017 0:00,1/3/2017,2/21/2017,49,E15282911,N         ,9808.69,Basic Water and Sewer,Yes,994,"$9,808.69 ",$0.00 ,3021450018
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,NEW YORK CITY WATER BOARD,5704924,2/1/2017 0:00,1/23/2017,2/21/2017,29,E10127758,N         ,5782.59,Basic Water and Sewer,Yes,586,"$5,782.59 ",$0.00 ,1012210038
